,,Revenue Growth Rate = Last 3 years,,,Pre-tax Operating Margin,,,Sales to Invested Capital,,,Cost of Capital,,,Beta,Debt to Capital Ratio,,,,
Industry Group,count,First Quartlie,Median,Third Quartile,First Quartlie,Median,Third Quartile,First Quartlie,Median,Third Quartile,First Quartlie,Median,Third Quartile,median(Beta),First Quartlie,Median,Third Quartile,,
Environmental & Waste Services,383,-0.18%,9.64%,20.80%,-6.80%,5.65%,13.62%,0.38,1.00,2.30,7.58%,8.14%,8.38%,0.50,0.89,1.32,3.07%,17.99%,39.19%
Farming/Agriculture,430,4.94%,13.70%,22.30%,-1.60%,5.40%,12.79%,0.48,0.95,1.81,6.89%,7.58%,8.48%,0.26,0.69,1.24,1.93%,19.63%,43.01%
Financial Svcs. (Non-bank & Insurance),"1,258",0.14%,10.80%,23.80%,0.00%,0.00%,14.26%,0.09,0.25,1.03,5.02%,5.46%,6.06%,0.36,0.85,1.39,2.09%,26.52%,61.34%
Food Processing,"1,657",2.52%,8.67%,16.90%,0.81%,5.01%,9.92%,0.94,1.54,2.36,7.13%,7.64%,8.70%,0.27,0.65,1.09,4.14%,18.66%,41.45%
Food Wholesalers,173,1.47%,7.76%,21.30%,0.65%,2.48%,5.02%,1.34,3.29,6.58,6.44%,6.72%,7.82%,0.21,0.65,1.20,2.30%,20.57%,41.49%
Furn/Home Furnishings,383,-1.40%,6.76%,15.30%,0.00%,5.43%,9.48%,1.03,1.53,2.28,8.83%,9.11%,10.70%,0.47,0.90,1.43,2.65%,13.54%,34.19%
Green & Renewable Energy,253,2.13%,14.80%,37.00%,3.96%,23.03%,43.87%,0.13,0.21,0.42,6.69%,7.14%,8.40%,0.34,0.89,1.33,11.98%,35.09%,55.96%
Healthcare Products,849,1.86%,11.00%,23.10%,-93.27%,0.00%,13.96%,0.51,0.96,1.60,8.64%,9.22%,9.67%,0.63,1.02,1.52,0.67%,5.72%,18.08%
Healthcare Support Services,463,3.29%,9.83%,20.60%,-5.05%,3.63%,9.19%,1.02,1.99,4.40,7.64%,8.31%,8.53%,0.44,0.78,1.35,2.63%,14.49%,36.41%
Heathcare Information and Technology,443,4.21%,13.60%,28.60%,-88.19%,-9.30%,11.32%,0.48,1.06,2.30,9.22%,9.31%,10.31%,0.77,1.15,1.70,0.40%,4.27%,16.23%
Homebuilding,173,2.81%,9.16%,17.20%,2.49%,8.00%,14.76%,0.77,1.31,2.43,8.23%,8.70%,9.32%,0.65,1.05,1.50,12.24%,32.20%,59.81%
Hospitals/Healthcare Facilities,232,6.09%,12.60%,20.90%,3.76%,9.55%,17.27%,0.67,1.15,1.76,6.51%,7.10%,8.29%,0.33,0.78,1.19,3.01%,15.39%,37.26%
Hotel/Gaming,650,5.73%,18.10%,31.10%,-5.94%,6.49%,17.51%,0.21,0.50,1.16,7.68%,8.16%,9.71%,0.36,0.90,1.50,2.79%,21.42%,49.77%
Household Products,178,-1.65%,4.53%,13.90%,-1.42%,5.13%,11.17%,0.90,1.51,2.36,7.44%,7.68%,9.17%,0.31,0.67,1.21,1.14%,10.97%,25.81%
Information Services,81,0.83%,7.09%,15.40%,1.99%,8.22%,12.82%,1.28,2.34,4.03,8.70%,9.58%,11.69%,0.57,1.09,1.62,0.65%,10.66%,29.78%
Insurance (General),202,3.48%,9.60%,17.20%,3.93%,8.93%,17.63%,1.01,1.74,3.28,7.15%,7.50%,9.44%,0.18,0.66,1.14,0.13%,6.21%,27.06%
Insurance (Life),137,-2.36%,4.23%,16.10%,0.02%,7.73%,14.93%,0.65,1.52,3.39,7.43%,8.19%,12.59%,0.43,0.85,1.36,0.59%,9.10%,42.73%
Insurance (Prop/Cas.),228,3.80%,8.58%,17.60%,4.94%,11.97%,19.98%,0.82,1.51,2.82,6.90%,8.23%,11.26%,0.36,0.66,0.99,0.09%,3.09%,15.48%
Investments & Asset Management,"1,374",-2.90%,11.40%,30.00%,-0.13%,17.12%,57.78%,0.01,0.13,0.65,6.23%,6.45%,6.88%,0.13,0.59,1.18,0.00%,0.94%,10.41%
Machinery,"1,492",3.60%,10.10%,18.80%,1.43%,6.97%,12.32%,0.85,1.31,2.04,9.08%,9.53%,9.69%,0.60,1.02,1.46,1.59%,9.33%,24.58%
Metals & Mining,"1,815",3.25%,16.70%,32.80%,-961.11%,-1.53%,7.07%,0.00,0.00,0.55,8.40%,8.41%,8.62%,0.56,1.04,1.54,0.00%,0.38%,11.35%
Missing,17,,,,0.00%,2.12%,2.12%,,,,,,,1.26,1.26,1.26,0.00%,0.00%,0.00%
Office Equipment & Services,137,2.09%,6.10%,13.60%,0.88%,6.09%,9.74%,0.92,1.58,2.49,7.72%,8.15%,9.57%,0.35,0.79,1.25,2.33%,10.58%,33.67%
Oil/Gas (Integrated),36,15.40%,21.30%,28.20%,6.67%,13.34%,21.04%,1.22,1.71,2.18,8.16%,8.89%,11.20%,0.53,0.90,1.34,14.05%,29.93%,42.67%
Oil/Gas (Production and Exploration),590,8.47%,24.60%,43.80%,-31.81%,15.92%,40.59%,0.06,0.47,0.89,8.24%,8.30%,8.98%,0.54,1.00,1.55,0.00%,8.25%,34.41%
Oil/Gas Distribution,174,1.58%,11.20%,22.40%,2.07%,12.21%,31.26%,0.35,0.71,1.66,6.64%,7.35%,8.47%,0.37,0.83,1.26,9.91%,33.50%,47.31%
